Date,Index,Price,Volume,Daily Change,Market Cap,Year,Month,Day
2016-01-08 00:00:00,VCE.TO,22.5871639251709,15400.0,-0.0011351562130318404,347842.32444763184,2016,01,08
2016-01-08 00:00:00,^BSESN,24934.330078125,15900.0,0.0033196750396509156,396455848.2421875,2016,01,08
2016-01-08 00:00:00,^DJAU,329.8900146484375,0.0,-0.003834971009867738,0.0,2016,01,08
2016-01-08 00:00:00,^DJI,16346.4501953125,1418500.0,-0.010151895533397792,23187439602.05078,2016,01,08
2016-01-08 00:00:00,^FTMC,16732.69921875,232393900.0,-0.0035433119405564595,3888577228972.2656,2016,01,08
2016-01-08 00:00:00,^IBEX,8909.19140625,310720000.0,-0.016568582366557782,2768263953750.0,2016,01,08
2016-01-08 00:00:00,^IXIC,4643.6298828125,2288750000.0,-0.009766707521371654,10628107894287.11,2016,01,08
2016-01-08 00:00:00,^KS11,1917.6199951171875,430200.0,0.006978853123769557,824960121.8994141,2016,01,08
2016-01-08 00:00:00,^MXX,40265.37109375,373461300.0,-0.009743824837679771,15037557833654.297,2016,01,08
2016-01-08 00:00:00,^N225,17697.9609375,184300000.0,-0.003904856149549274,3261734200781.25,2016,01,08
2016-01-11 00:00:00,000001.SS,3016.7041015625,271600.0,-0.05325990549470627,819336833.984375,2016,01,11
2016-01-11 00:00:00,DAX,20.558855056762695,10100.0,0.007846585499198033,207644.43607330322,2016,01,11
2016-01-11 00:00:00,EWZ,16.83814239501953,14221100.0,-0.008381434163501567,239456906.81381226,2016,01,11
2016-01-11 00:00:00,FTSEMIB.MI,19756.0,544022200.0,-0.005687251497307311,10747702583200.0,2016,01,11
2016-01-11 00:00:00,VCE.TO,22.416053771972656,60800.0,-0.007575548385140962,1362896.0693359375,2016,01,11
2016-01-11 00:00:00,^BSESN,24825.0390625,10600.0,-0.004383154280967916,263145414.0625,2016,01,11
2016-01-11 00:00:00,^DJAU,325.8699951171875,0.0,-0.012185938806102192,0.0,2016,01,11
2016-01-11 00:00:00,^DJI,16398.5703125,1277900.0,0.0031884670105590818,20955733002.34375,2016,01,11
2016-01-11 00:00:00,^FTMC,16658.30078125,256780100.0,-0.004446290256423957,4277520140439.453,2016,01,11
2016-01-11 00:00:00,^IBEX,8886.0908203125,301412900.0,-0.002592893662750839,2678382403813.7695,2016,01,11
2016-01-11 00:00:00,^IXIC,4637.990234375,2391110000.0,-0.0012144913741670704,11089944829316.406,2016,01,11
2016-01-11 00:00:00,^KS11,1894.8399658203125,328800.0,-0.011879324034417382,623023380.7617188,2016,01,11
2016-01-11 00:00:00,^MXX,40706.890625,220635600.0,0.010965241825836136,8981389237181.25,2016,01,11
2016-01-12 00:00:00,000001.SS,3022.861083984375,207700.0,0.0020409633210913825,627848247.1435547,2016,01,12
2016-01-12 00:00:00,DAX,20.80783462524414,1800.0,0.012110575603262674,37454.10232543945,2016,01,12
2016-01-12 00:00:00,EWZ,16.918197631835938,12266100.0,0.00475439837354541,207520303.9718628,2016,01,12
2016-01-12 00:00:00,FTSEMIB.MI,19970.0,581233200.0,0.010832152257542083,11607227004000.0,2016,01,12
2016-01-12 00:00:00,VCE.TO,22.364715576171875,15400.0,-0.0022902423559034712,344416.6198730469,2016,01,12
2016-01-12 00:00:00,^BSESN,24682.029296875,10300.0,-0.005760706569885143,254224901.7578125,2016,01,12
2016-01-12 00:00:00,^DJAU,325.25,0.0,-0.0019025842405789861,0.0,2016,01,12
2016-01-12 00:00:00,^DJI,16516.220703125,1174800.0,0.007174429744971178,19403256082.03125,2016,01,12
2016-01-12 00:00:00,^FTMC,16687.900390625,293207700.0,0.0017768684671797264,4893020891364.258,2016,01,12
2016-01-12 00:00:00,^IBEX,8915.3916015625,297575500.0,0.00329737584754608,2653002113530.7617,2016,01,12
2016-01-12 00:00:00,^IXIC,4685.919921875,2147470000.0,0.010334150155117516,10062872454628.906,2016,01,12
2016-01-12 00:00:00,^KS11,1890.8599853515625,295100.0,-0.002100430928491104,557992781.6772461,2016,01,12
2016-01-12 00:00:00,^MXX,41022.73828125,217279500.0,0.007759071041796073,8913400062380.86,2016,01,12
2016-01-12 00:00:00,^N225,17218.9609375,178400000.0,-0.02706526484557059,3071862631250.0,2016,01,12
2016-01-13 00:00:00,000001.SS,2949.596923828125,194300.0,-0.024236694350400656,573106682.2998047,2016,01,13
2016-01-13 00:00:00,DAX,20.374784469604492,7900.0,-0.020811879921146192,160960.7973098755,2016,01,13
2016-01-13 00:00:00,EWZ,16.526823043823242,16254200.0,-0.023133350048838763,268630287.11891174,2016,01,13
2016-01-13 00:00:00,FTSEMIB.MI,20140.0,646305000.0,0.00851276915373056,13016582700000.0,2016,01,13
2016-01-13 00:00:00,VCE.TO,22.159374237060547,42800.0,-0.009181486722330878,948421.2173461914,2016,01,13
2016-01-13 00:00:00,^BSESN,24854.109375,14000.0,0.006971877233238111,347957531.25,2016,01,13
2016-01-13 00:00:00,^DJAU,329.57000732421875,0.0,0.0132821132181975,0.0,2016,01,13
2016-01-13 00:00:00,^DJI,16151.41015625,1535300.0,-0.022088015983340203,24797260012.890625,2016,01,13
2016-01-13 00:00:00,^FTMC,16695.80078125,311800100.0,0.00047342028895602795,5205752353173.828,2016,01,13
2016-01-13 00:00:00,^IBEX,8934.4912109375,300798700.0,0.0021423186135371974,2687483341411.426,2016,01,13
2016-01-13 00:00:00,^IXIC,4526.06005859375,2533200000.0,-0.03411493707670632,11465415340429.688,2016,01,13
2016-01-13 00:00:00,^KS11,1916.280029296875,265200.0,0.013443641592841837,508197463.76953125,2016,01,13
2016-01-13 00:00:00,^MXX,41008.78125,207644900.0,-0.0003402267092535993,8515264281778.125,2016,01,13
2016-01-13 00:00:00,^N225,17715.630859375,145900000.0,0.028844360799572755,2584710542382.8125,2016,01,13
2016-01-14 00:00:00,000001.SS,3007.64892578125,212900.0,0.01968133390842519,640328456.2988281,2016,01,14
2016-01-14 00:00:00,DAX,20.514392852783203,6400.0,0.0068520176685540335,131292.1142578125,2016,01,14
2016-01-14 00:00:00,EWZ,16.944881439208984,15198400.0,0.025295750688272056,257535086.06567383,2016,01,14
2016-01-14 00:00:00,FTSEMIB.MI,19803.0,769284500.0,-0.016732869910625614,15234140953500.0,2016,01,14
2016-01-14 00:00:00,VCE.TO,22.49305534362793,19900.0,0.015058236888716658,447611.8013381958,2016,01,14
2016-01-14 00:00:00,^BSESN,24772.970703125,14900.0,-0.003264597843792183,369117263.4765625,2016,01,14
2016-01-14 00:00:00,^DJAU,324.3900146484375,0.0,-0.0157174274377625,0.0,2016,01,14
2016-01-14 00:00:00,^DJI,16379.0498046875,1588300.0,0.014094103625336585,26014844804.785156,2016,01,14
2016-01-14 00:00:00,^FTMC,16413.30078125,334031000.0,-0.016920422308659644,5482551273261.719,2016,01,14
